"From Date","To Date","Duration (Days)","Holiday Name","Type","Comments"
"Jun 17, 2019","Jun 17, 2019","1","Youth Day (Observed)","Public Holiday","In lieu of Jun 16 (Sunday)"
"Aug 09, 2019","Aug 09, 2019","1","National Women's Day","Public Holiday",""
"Sep 20, 2019","Sep 29, 2019","10","Term 3 Break","School Holiday","Spring break"
"Sep 24, 2019","Sep 24, 2019","1","Heritage Day","Public Holiday",""
"Dec 04, 2019","Jan 07, 2020","35","Term 4 Break","School Holiday","Year-end holidays"
"Dec 16, 2019","Dec 16, 2019","1","Day of Reconciliation","Public Holiday",""
"Dec 25, 2019","Dec 25, 2019","1","Christmas Day","Public Holiday",""
"Dec 26, 2019","Dec 26, 2019","1","Day of Goodwill","Public Holiday",""
"Jan 01, 2020","Jan 01, 2020","1","New Year's Day","Public Holiday",""
"Mar 18, 2020","Mar 30, 2020","13","Term 1 Break","School Holiday","Easter break (adjusted due to COVID-19)"
"Mar 21, 2020","Mar 21, 2020","1","Human Rights Day","Public Holiday",""
"Apr 03, 2020","Apr 09, 2020","7","Special School Holiday","School Holiday","COVID-19 related"
"Apr 10, 2020","Apr 10, 2020","1","Good Friday","Public Holiday",""
"Apr 13, 2020","Apr 13, 2020","1","Family Day","Public Holiday",""
"Apr 27, 2020","Apr 27, 2020","1","Freedom Day","Public Holiday",""
"May 01, 2020","May 01, 2020","1","Workers' Day","Public Holiday",""
"Jun 16, 2020","Jun 16, 2020","1","Youth Day","Public Holiday",""
"Jun 26, 2020","Jul 20, 2020","25","Term 2 Break","School Holiday","Mid-year break"
"Aug 09, 2020","Aug 09, 2020","1","National Women's Day","Public Holiday",""
"Aug 10, 2020","Aug 10, 2020","1","National Women's Day (Observed)","Public Holiday","In lieu of Aug 09 (Sunday)"
"Sep 24, 2020","Sep 24, 2020","1","Heritage Day","Public Holiday",""
"Sep 25, 2020","Oct 04, 2020","10","Term 3 Break","School Holiday","Spring break"
"Dec 15, 2020","Jan 26, 2021","43","Term 4 Break","School Holiday","Year-end holidays (extended)"
"Dec 16, 2020","Dec 16, 2020","1","Day of Reconciliation","Public Holiday",""
"Dec 25, 2020","Dec 25, 2020","1","Christmas Day","Public Holiday",""
"Dec 26, 2020","Dec 26, 2020","1","Day of Goodwill","Public Holiday",""
"Jan 01, 2021","Jan 01, 2021","1","New Year's Day","Public Holiday",""
"Mar 21, 2021","Mar 21, 2021","1","Human Rights Day","Public Holiday",""
"Mar 22, 2021","Mar 22, 2021","1","Human Rights Day (Observed)","Public Holiday","In lieu of Mar 21 (Sunday)"
"Mar 26, 2021","Apr 12, 2021","18","Term 1 Break","School Holiday","Easter break"
"Apr 02, 2021","Apr 02, 2021","1","Good Friday","Public Holiday",""
"Apr 05, 2021","Apr 05, 2021","1","Family Day","Public Holiday",""
"Apr 27, 2021","Apr 27, 2021","1","Freedom Day","Public Holiday",""
"May 01, 2021","May 01, 2021","1","Workers' Day","Public Holiday",""
"Jun 16, 2021","Jun 16, 2021","1","Youth Day","Public Holiday",""
"Jun 24, 2021","Jul 19, 2021","26","Term 2 Break","School Holiday","Mid-year break"
"Aug 09, 2021","Aug 09, 2021","1","National Women's Day","Public Holiday",""
"Sep 23, 2021","Oct 03, 2021","11","Term 3 Break","School Holiday","Spring break"
"Sep 24, 2021","Sep 24, 2021","1","Heritage Day","Public Holiday",""
"Dec 15, 2021","Jan 11, 2022","28","Term 4 Break","School Holiday","Year-end holidays"
"Dec 16, 2021","Dec 16, 2021","1","Day of Reconciliation","Public Holiday",""
"Dec 25, 2021","Dec 25, 2021","1","Christmas Day","Public Holiday",""
"Dec 26, 2021","Dec 26, 2021","1","Day of Goodwill","Public Holiday",""
"Dec 27, 2021","Dec 27, 2021","1","Day of Goodwill (Observed)","Public Holiday","In lieu of Dec 26 (Sunday)"
"Jan 01, 2022","Jan 01, 2022","1","New Year's Day","Public Holiday",""
"Jan 03, 2022","Jan 03, 2022","1","New Year's Day (Observed)","Public Holiday","In lieu of Jan 01 (Saturday)"
"Mar 17, 2022","Apr 04, 2022","19","Term 1 Break","School Holiday","Easter break"
"Mar 21, 2022","Mar 21, 2022","1","Human Rights Day","Public Holiday",""
"Apr 15, 2022","Apr 15, 2022","1","Good Friday","Public Holiday",""
"Apr 18, 2022","Apr 18, 2022","1","Family Day","Public Holiday",""
"Apr 27, 2022","Apr 27, 2022","1","Freedom Day","Public Holiday",""
"May 01, 2022","May 01, 2022","1","Workers' Day","Public Holiday",""
"May 02, 2022","May 02, 2022","1","Workers' Day (Observed)","Public Holiday","In lieu of May 01 (Sunday)"
"Jun 16, 2022","Jun 16, 2022","1","Youth Day","Public Holiday",""
"Jun 24, 2022","Jul 18, 2022","25","Term 2 Break","School Holiday","Mid-year break"
"Aug 09, 2022","Aug 09, 2022","1","National Women's Day","Public Holiday",""
"Sep 24, 2022","Sep 24, 2022","1","Heritage Day","Public Holiday",""
"Sep 26, 2022","Sep 26, 2022","1","Heritage Day (Observed)","Public Holiday","In lieu of Sep 24 (Saturday)"
"Sep 30, 2022","Oct 10, 2022","11","Term 3 Break","School Holiday","Spring break"
"Dec 14, 2022","Jan 10, 2023","28","Term 4 Break","School Holiday","Year-end holidays"
"Dec 16, 2022","Dec 16, 2022","1","Day of Reconciliation","Public Holiday",""
"Dec 25, 2022","Dec 25, 2022","1","Christmas Day","Public Holiday",""
"Dec 26, 2022","Dec 26, 2022","1","Day of Goodwill","Public Holiday",""
"Dec 27, 2022","Dec 27, 2022","1","Public Holiday","Public Holiday","In lieu of Christmas Day (Sunday)"
"Jan 01, 2023","Jan 01, 2023","1","New Year's Day","Public Holiday",""
"Jan 02, 2023","Jan 02, 2023","1","New Year's Day (Observed)","Public Holiday","In lieu of Jan 01 (Sunday)"
"Mar 21, 2023","Mar 21, 2023","1","Human Rights Day","Public Holiday",""
"Mar 24, 2023","Apr 11, 2023","19","Term 1 Break","School Holiday","Easter break"
"Apr 07, 2023","Apr 07, 2023","1","Good Friday","Public Holiday",""
"Apr 10, 2023","Apr 10, 2023","1","Family Day","Public Holiday",""
"Apr 27, 2023","Apr 27, 2023","1","Freedom Day","Public Holiday",""
"May 01, 2023","May 01, 2023","1","Workers' Day","Public Holiday",""
"Jun 16, 2023","Jun 16, 2023","1","Youth Day","Public Holiday",""
"Jun 23, 2023","Jul 17, 2023","25","Term 2 Break","School Holiday","Mid-year break"
"Aug 09, 2023","Aug 09, 2023","1","National Women's Day","Public Holiday",""
"Sep 24, 2023","Sep 24, 2023","1","Heritage Day","Public Holiday",""
"Sep 25, 2023","Sep 25, 2023","1","Heritage Day (Observed)","Public Holiday","In lieu of Sep 24 (Sunday)"
"Sep 29, 2023","Oct 08, 2023","10","Term 3 Break","School Holiday","Spring break"
"Dec 13, 2023","Jan 09, 2024","28","Term 4 Break","School Holiday","Year-end holidays"
"Dec 16, 2023","Dec 16, 2023","1","Day of Reconciliation","Public Holiday",""
"Dec 25, 2023","Dec 25, 2023","1","Christmas Day","Public Holiday",""
"Dec 26, 2023","Dec 26, 2023","1","Day of Goodwill","Public Holiday",""
"Jan 01, 2024","Jan 01, 2024","1","New Year's Day","Public Holiday",""
"Mar 20, 2024","Apr 02, 2024","14","Term 1 Break","School Holiday","Easter break"
"Mar 21, 2024","Mar 21, 2024","1","Human Rights Day","Public Holiday",""
"Mar 29, 2024","Mar 29, 2024","1","Good Friday","Public Holiday",""
"Apr 01, 2024","Apr 01, 2024","1","Family Day","Public Holiday",""
"Apr 27, 2024","Apr 27, 2024","1","Freedom Day","Public Holiday",""
"May 01, 2024","May 01, 2024","1","Workers' Day","Public Holiday",""
"May 29, 2024","May 29, 2024","1","Voting Day","Public Holiday","Once-off public holiday for national election"
"Jun 14, 2024","Jul 08, 2024","25","Term 2 Break","School Holiday","Mid-year break"
"Jun 16, 2024","Jun 16, 2024","1","Youth Day","Public Holiday",""
"Jun 17, 2024","Jun 17, 2024","1","Youth Day (Observed)","Public Holiday","In lieu of Jun 16 (Sunday)"
"Aug 09, 2024","Aug 09, 2024","1","National Women's Day","Public Holiday",""
"Sep 20, 2024","Sep 30, 2024","11","Term 3 Break","School Holiday","Spring break"
"Sep 24, 2024","Sep 24, 2024","1","Heritage Day","Public Holiday",""
"Dec 11, 2024","Jan 07, 2025","28","Term 4 Break","School Holiday","Year-end holidays"
"Dec 16, 2024","Dec 16, 2024","1","Day of Reconciliation","Public Holiday",""
"Dec 25, 2024","Dec 25, 2024","1","Christmas Day","Public Holiday",""
"Dec 26, 2024","Dec 26, 2024","1","Day of Goodwill","Public Holiday",""
"Jan 01, 2025","Jan 01, 2025","1","New Year's Day","Public Holiday",""
"Mar 21, 2025","Mar 21, 2025","1","Human Rights Day","Public Holiday",""
"Mar 28, 2025","Apr 07, 2025","11","Term 1 Break","School Holiday","Easter break"
"Apr 18, 2025","Apr 18, 2025","1","Good Friday","Public Holiday",""
"Apr 21, 2025","Apr 21, 2025","1","Family Day","Public Holiday",""
"Apr 27, 2025","Apr 27, 2025","1","Freedom Day","Public Holiday",""
"Apr 28, 2025","Apr 28, 2025","1","Freedom Day (Observed)","Public Holiday","In lieu of Apr 27 (Sunday)"
"Apr 29, 2025","Apr 30, 2025","2","Special School Holiday","School Holiday","Between Freedom Day and Workers' Day"
"May 01, 2025","May 01, 2025","1","Workers' Day","Public Holiday",""
"May 02, 2025","May 02, 2025","1","Special School Holiday","School Holiday","After Workers' Day"
"Jun 16, 2025","Jun 16, 2025","1","Youth Day","Public Holiday",""
"Jun 27, 2025","Jul 21, 2025","25","Term 2 Break","School Holiday","Mid-year break"
"Jul 18, 2025","Jul 18, 2025","1","Nelson Mandela Day","Observance","Not a public holiday, but widely observed"
"Aug 09, 2025","Aug 09, 2025","1","National Women's Day","Public Holiday",""
"Sep 24, 2025","Sep 24, 2025","1","Heritage Day","Public Holiday",""
"Oct 03, 2025","Oct 12, 2025","10","Term 3 Break","School Holiday","Spring break"
"Dec 12, 2025","Jan 14, 2026","34","Term 4 Break","School Holiday","Year-end holidays"
"Dec 16, 2025","Dec 16, 2025","1","Day of Reconciliation","Public Holiday",""
"Dec 25, 2025","Dec 25, 2025","1","Christmas Day","Public Holiday",""
"Dec 26, 2025","Dec 26, 2025","1","Day of Goodwill","Public Holiday",""
"Jan 01, 2026","Jan 01, 2026","1","New Year's Day","Public Holiday",""
"Mar 21, 2026","Mar 21, 2026","1","Human Rights Day","Public Holiday",""
"Mar 27, 2026","Apr 07, 2026","12","Term 1 Break","School Holiday","Easter break"
"Apr 03, 2026","Apr 03, 2026","1","Good Friday","Public Holiday",""
"Apr 06, 2026","Apr 06, 2026","1","Family Day","Public Holiday",""
"Apr 27, 2026","Apr 27, 2026","1","Freedom Day","Public Holiday",""
"May 01, 2026","May 01, 2026","1","Workers' Day","Public Holiday",""
"Jun 16, 2026","Jun 16, 2026","1","Youth Day","Public Holiday",""
"Jun 26, 2026","Jul 20, 2026","25","Term 2 Break","School Holiday","Mid-year break"
"Aug 09, 2026","Aug 09, 2026","1","National Women's Day","Public Holiday",""
"Aug 10, 2026","Aug 10, 2026","1","National Women's Day (Observed)","Public Holiday","In lieu of Aug 09 (Sunday)"
"Sep 24, 2026","Sep 24, 2026","1","Heritage Day","Public Holiday",""
"Sep 25, 2026","Oct 04, 2026","10","Term 3 Break","School Holiday","Spring break"
"Dec 11, 2026","Jan 13, 2027","34","Term 4 Break","School Holiday","Year-end holidays"
"Dec 16, 2026","Dec 16, 2026","1","Day of Reconciliation","Public Holiday",""
"Dec 25, 2026","Dec 25, 2026","1","Christmas Day","Public Holiday",""
"Dec 26, 2026","Dec 26, 2026","1","Day of Goodwill","Public Holiday",""
"Jan 01, 2027","Jan 01, 2027","1","New Year's Day","Public Holiday",""
"Mar 19, 2027","Apr 05, 2027","18","Term 1 Break","School Holiday","Easter break"
"Mar 21, 2027","Mar 21, 2027","1","Human Rights Day","Public Holiday",""
"Mar 22, 2027","Mar 22, 2027","1","Human Rights Day (Observed)","Public Holiday","In lieu of Mar 21 (Sunday)"
"Mar 26, 2027","Mar 26, 2027","1","Good Friday","Public Holiday",""
"Mar 29, 2027","Mar 29, 2027","1","Family Day","Public Holiday",""
"Apr 27, 2027","Apr 27, 2027","1","Freedom Day","Public Holiday",""
"May 01, 2027","May 01, 2027","1","Workers' Day","Public Holiday",""
"Jun 16, 2027","Jun 16, 2027","1","Youth Day","Public Holiday",""
"Jun 25, 2027","Jul 19, 2027","25","Term 2 Break","School Holiday","Mid-year break"
"Aug 09, 2027","Aug 09, 2027","1","National Women's Day","Public Holiday",""
"Sep 22, 2027","Oct 04, 2027","13","Term 3 Break","School Holiday","Spring break"
"Sep 24, 2027","Sep 24, 2027","1","Heritage Day","Public Holiday",""
"Dec 10, 2027","Jan 12, 2028","34","Term 4 Break","School Holiday","Year-end holidays"
"Dec 16, 2027","Dec 16, 2027","1","Day of Reconciliation","Public Holiday",""
"Dec 25, 2027","Dec 25, 2027","1","Christmas Day","Public Holiday",""
"Dec 26, 2027","Dec 26, 2027","1","Day of Goodwill","Public Holiday",""
"Dec 27, 2027","Dec 27, 2027","1","Day of Goodwill (Observed)","Public Holiday","In lieu of Dec 26 (Sunday)"
"Jan 01, 2028","Jan 01, 2028","1","New Year's Day","Public Holiday",""
"Jan 03, 2028","Jan 03, 2028","1","New Year's Day (Observed)","Public Holiday","In lieu of Jan 01 (Saturday)"
"Mar 21, 2028","Mar 21, 2028","1","Human Rights Day","Public Holiday",""
"Mar 31, 2028","Apr 16, 2028","17","Term 1 Break","School Holiday","Easter break (extrapolated)"
"Apr 14, 2028","Apr 14, 2028","1","Good Friday","Public Holiday",""
"Apr 17, 2028","Apr 17, 2028","1","Family Day","Public Holiday",""
"Apr 27, 2028","Apr 27, 2028","1","Freedom Day","Public Holiday",""
"May 01, 2028","May 01, 2028","1","Workers' Day","Public Holiday",""
"Jun 16, 2028","Jun 16, 2028","1","Youth Day","Public Holiday",""
"Jun 23, 2028","Jul 17, 2028","25","Term 2 Break","School Holiday","Mid-year break (extrapolated)"
"Aug 09, 2028","Aug 09, 2028","1","National Women's Day","Public Holiday",""
"Sep 24, 2028","Sep 24, 2028","1","Heritage Day","Public Holiday",""
"Sep 25, 2028","Sep 25, 2028","1","Heritage Day (Observed)","Public Holiday","In lieu of Sep 24 (Sunday)"
"Sep 29, 2028","Oct 09, 2028","11","Term 3 Break","School Holiday","Spring break (extrapolated)"
"Dec 13, 2028","Jan 09, 2029","28","Term 4 Break","School Holiday","Year-end holidays (extrapolated)"
"Dec 16, 2028","Dec 16, 2028","1","Day of Reconciliation","Public Holiday",""
"Dec 25, 2028","Dec 25, 2028","1","Christmas Day","Public Holiday",""
"Dec 26, 2028","Dec 26, 2028","1","Day of Goodwill","Public Holiday",""
"Jan 01, 2029","Jan 01, 2029","1","New Year's Day","Public Holiday",""
"Mar 21, 2029","Mar 21, 2029","1","Human Rights Day","Public Holiday",""
"Mar 22, 2029","Apr 08, 2029","18","Term 1 Break","School Holiday","Easter break (extrapolated)"
"Mar 30, 2029","Mar 30, 2029","1","Good Friday","Public Holiday",""
"Apr 02, 2029","Apr 02, 2029","1","Family Day","Public Holiday",""
"Apr 27, 2029","Apr 27, 2029","1","Freedom Day","Public Holiday",""
"May 01, 2029","May 01, 2029","1","Workers' Day","Public Holiday",""
"Jun 16, 2029","Jun 16, 2029","1","Youth Day","Public Holiday",""
"Jun 22, 2029","Jul 16, 2029","25","Term 2 Break","School Holiday","Mid-year break (extrapolated)"
"Aug 09, 2029","Aug 09, 2029","1","National Women's Day","Public Holiday",""
"Sep 24, 2029","Sep 24, 2029","1","Heritage Day","Public Holiday",""
"Sep 28, 2029","Oct 07, 2029","10","Term 3 Break","School Holiday","Spring break (extrapolated)"
"Dec 12, 2029","Jan 08, 2030","28","Term 4 Break","School Holiday","Year-end holidays (extrapolated)"
"Dec 16, 2029","Dec 16, 2029","1","Day of Reconciliation","Public Holiday",""
"Dec 17, 2029","Dec 17, 2029","1","Day of Reconciliation (Observed)","Public Holiday","In lieu of Dec 16 (Sunday)"
"Dec 25, 2029","Dec 25, 2029","1","Christmas Day","Public Holiday",""
"Dec 26, 2029","Dec 26, 2029","1","Day of Goodwill","Public Holiday",""
"Jan 01, 2030","Jan 01, 2030","1","New Year's Day","Public Holiday",""
"Mar 21, 2030","Mar 21, 2030","1","Human Rights Day","Public Holiday",""
"Mar 29, 2030","Apr 14, 2030","17","Term 1 Break","School Holiday","Easter break (extrapolated)"
"Apr 19, 2030","Apr 19, 2030","1","Good Friday","Public Holiday",""
"Apr 22, 2030","Apr 22, 2030","1","Family Day","Public Holiday",""
"Apr 27, 2030","Apr 27, 2030","1","Freedom Day","Public Holiday",""
"May 01, 2030","May 01, 2030","1","Workers' Day","Public Holiday",""
"Jun 16, 2030","Jun 16, 2030","1","Youth Day","Public Holiday",""
"Jun 17, 2030","Jun 17, 2030","1","Youth Day (Observed)","Public Holiday","In lieu of Jun 16 (Sunday)"
"Jun 21, 2030","Jul 15, 2030","25","Term 2 Break","School Holiday","Mid-year break (extrapolated)"
"Aug 09, 2030","Aug 09, 2030","1","National Women's Day","Public Holiday",""
"Sep 24, 2030","Sep 24, 2030","1","Heritage Day","Public Holiday",""
"Sep 27, 2030","Oct 06, 2030","10","Term 3 Break","School Holiday","Spring break (extrapolated)"
"Dec 11, 2030","Jan 07, 2031","28","Term 4 Break","School Holiday","Year-end holidays (extrapolated)"
"Dec 16, 2030","Dec 16, 2030","1","Day of Reconciliation","Public Holiday",""
"Dec 25, 2030","Dec 25, 2030","1","Christmas Day","Public Holiday",""
"Dec 26, 2030","Dec 26, 2030","1","Day of Goodwill","Public Holiday",""
